Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BOLIVARIANA MIRABA,N/A,341,270,270,264,6,N/A,1,0,0,0,0,43,221
EDO. FALCON,MP. FALCON,PQ. MORUY,ESCUELA BOLIVARIANA GISEBO,N/A,207,178,178,172,6,N/A,1,0,0,0,0,39,133
EDO. FALCON,MP. FALCON,PQ. BARAIVED,ESCUELA BASICA CAMUNARE,N/A,283,219,219,218,1,N/A,1,0,0,1,0,69,148
EDO. FALCON,MP. FALCON,PQ. BARAIVED,ESCUELA BASICA MIRACA,N/A,723,624,624,609,15,N/A,2,0,1,0,5,189,414
EDO. FALCON,MP. FALCON,PQ. BARAIVED,ESCUELA BÁSICA BOLIVARIANA MANUEL C. MOLINA,N/A,935,765,765,745,20,N/A,2,0,0,1,5,244,495
EDO. FALCON,MP. FALCON,PQ. BARAIVED,UNIDAD EDUCATIVA BARAIVED,N/A,897,764,764,759,5,N/A,2,0,0,0,7,303,449
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA BASICA ESTADAL UNITARIA TIRAYA,N/A,133,119,119,117,2,N/A,1,0,0,0,2,26,89
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA BOLIVARIANA CHARAIMA,N/A,825,663,663,647,16,N/A,2,0,0,0,7,179,461
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA BASICA CRUZ DEL VALLE RODRIGUEZ,N/A,892,735,735,721,14,N/A,2,0,0,0,3,190,528
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA ESTADAL EL SUPI,N/A,513,404,404,388,16,N/A,1,0,0,0,3,163,222
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA BOLIVARIANA SAN PEDRO,N/A,295,218,218,210,8,N/A,1,1,0,0,1,47,161
EDO. FALCON,MP. FALCON,PQ. ADICORA,CASA COMUNAL BUCHUACO,N/A,150,139,139,137,2,N/A,1,0,0,1,1,32,103
EDO. FALCON,MP. FALCON,PQ. ADICORA,ESCUELA BASICA BOLIVARIANA ADICORA,N/A,1548,1234,1234,1214,20,N/A,3,0,1,0,3,560,650
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BASICA GUAYACANAL,N/A,135,121,121,119,2,N/A,1,0,0,0,0,44,75
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA BOLIVARIANA LA TRINIDAD,N/A,138,131,131,130,1,N/A,1,0,0,0,0,25,105
EDO. FALCON,MP. FALCON,PQ. JADACAQUIVA,ESCUELA ESTADAL SAN VICENTE,N/A,677,540,540,528,12,N/A,2,0,0,0,1,185,342
