Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA CONCENTRADA SOLANO,N/A,424,343,343,335,8,N/A,1,0,1,1,2,82,249
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA  CREACION SAN CARLOS,N/A,3409,2867,2867,2810,57,N/A,6,2,1,0,25,1288,1494
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BOLIVARIANA MAPUEY,N/A,1269,1056,1056,1024,32,N/A,3,1,0,0,4,327,692
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA  MARIA  DE  ALBORNOZ,N/A,2806,2235,2235,2191,44,N/A,5,0,2,0,18,870,1301
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,UNIDAD EDUCATIVA PRIVADA MIGUEL PALAO RICO,N/A,1144,973,973,946,27,N/A,2,1,0,0,7,544,394
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA SANTA ROSA,N/A,161,148,148,145,3,N/A,1,3,0,0,2,7,133
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA CARLOS TOVAR,N/A,2145,1827,1827,1783,44,N/A,4,1,0,0,17,851,914
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL NACIONAL BOLIVARIANO FUNDA BARRIO,N/A,696,615,615,606,9,N/A,2,0,0,0,4,103,499
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO SAN ANTONIO DE PADUA,N/A,232,212,212,205,7,N/A,1,0,0,0,2,43,160
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BOLIVARIANA MANPOSTAL,N/A,153,135,135,134,1,N/A,1,0,0,0,1,10,123
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,LICEO BOLIVARIANO RAUL LEONI,N/A,837,751,751,734,17,N/A,2,0,0,1,4,252,477
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA ANGEL MARIA GARRIDO,N/A,1965,1641,1641,1596,45,N/A,4,3,1,0,13,665,914
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA  ELOY GUILLERMO  GONZALEZ,N/A,3047,2489,2489,2401,88,N/A,6,2,3,2,20,1271,1103
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,LICEO BOLIVARIANO EZEQUIEL ZAMORA,N/A,506,457,457,439,18,N/A,1,0,0,0,3,132,304
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACIÓN INICIAL NACIONAL RAYITO DE SOL,N/A,429,368,368,360,8,N/A,1,0,0,0,2,86,272
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL CONCENTRADA PALMERO,N/A,689,562,562,548,14,N/A,2,0,0,1,3,155,389
EDO. COJEDES,MP. RICAURTE,PQ. LIBERTAD DE COJEDES,JARDIN DE INFANCIA BOLIVARIANO LA CHEPERA,N/A,246,205,205,200,5,N/A,1,0,0,0,1,31,168
