Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,ESCUELA BASICA ESTADAL DON VIVIANO VARGAS,N/A,656,485,485,473,12,N/A,2,0,2,0,3,199,269
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,ESCUELA BASICA LA BELEN NUMERO 74,N/A,944,747,747,732,15,N/A,2,1,0,0,4,196,531
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,ESCUELA BASICA PIMENTEL CORONEL,N/A,1907,1520,1520,1499,21,N/A,4,0,0,1,0,834,664
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,UNIDAD EDUCATIVA AGUA CLARA,N/A,71,63,63,61,2,N/A,1,0,0,0,0,9,52
EDO. CARABOBO,MP. BEJUMA,PQ. CANOABO,UNIDAD EDUCATIVA PALMICHAL NO 80,N/A,367,284,284,282,2,N/A,1,0,0,2,1,109,170
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,UNIDAD EDUCATIVA SIMON RODRIGUEZ,N/A,621,542,542,532,10,N/A,2,0,0,0,1,232,299
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,GRUPO ESCOLAR PARAMACONI,N/A,2170,1798,1798,1762,36,N/A,4,1,1,1,4,1049,706
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,ESCUELA ESTATAL TORCUATO MANZO NUÑEZ,N/A,1186,981,981,969,12,N/A,2,0,0,0,2,389,578
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,ESCUELA SARA DE MORENO,N/A,1052,892,892,885,7,N/A,2,1,0,0,5,448,431
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,UNIDAD EDUCATIVA EDUARDO BLANCO,N/A,198,177,177,174,3,N/A,1,0,0,0,0,14,160
EDO. CARABOBO,MP. BEJUMA,PQ. SIMON BOLIVAR,UNIDAD EDUCATIVA CARIAPRIMA,N/A,611,460,460,449,11,N/A,2,0,0,0,2,200,247
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,ESCUELA ESTADAL GRADUADA JULIAN MELLADO,N/A,2855,2249,2249,2214,35,N/A,5,0,1,0,6,1092,1115
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,ESCUELA BASICA CRESPO GARROTE,N/A,2465,1973,1973,1945,28,N/A,5,1,2,0,9,839,1094
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,ESCUELA ESTADAL JOSE IGNACIO PULIDO,N/A,2278,1911,1911,1877,34,N/A,4,1,0,0,9,1208,659
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,NUCLEO ESCOLAR NO 79,N/A,34,14,14,14,0,N/A,1,0,0,0,0,1,13
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,PRE ESCOLAR EL RINCON,N/A,2832,2374,2374,2352,22,N/A,5,0,0,1,11,721,1619
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,JARDIN DE INFANCIA LOS GATICOS,N/A,1388,1038,1038,1025,13,N/A,3,0,1,1,0,224,799
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,UNIDAD EDUCATIVA EL NARANJAL NUCLEO ESCOLAR RURAL Nº 009,N/A,155,81,81,79,2,N/A,1,0,0,0,0,11,68
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,LICEO NACIONAL ARTURO MICHELENA,N/A,3412,2658,2658,2617,41,N/A,6,0,1,3,9,1260,1344
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,UNIDAD EDUCATIVA INSTITUTO SAN MARTIN,N/A,1496,1258,1258,1229,29,N/A,3,0,1,0,5,643,580
EDO. CARABOBO,MP. BEJUMA,PQ. BEJUMA,ESCUELA BASICA  MIGUEL MARIN,N/A,4764,3831,3831,3782,49,N/A,9,2,1,2,15,2288,1474
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA JUAN ESTEBAN RODRIGUEZ DE LAMAS,N/A,491,412,412,402,10,N/A,1,1,0,0,3,140,258
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA NACIONAL MANUEL ANTONIO MALPICA,N/A,5283,4445,4445,4379,66,N/A,10,2,2,1,19,2942,1413
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA BASICA GUERE,N/A,1478,1294,1294,1274,20,N/A,3,0,2,1,2,588,681
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA PRIVADO COLEGIO PARROQUIAL PADRE SEIJAS,N/A,5758,4973,4973,4933,40,N/A,10,0,1,0,13,4194,725
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,LICEO MONSEÑOR GREGORIO ADAMS,N/A,2664,2282,2282,2240,42,N/A,5,1,2,1,10,1386,840
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,HOGARES CREA TARAPIO,N/A,1163,896,896,885,11,N/A,2,1,0,0,3,410,471
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA BASICA  ESTADAL PROFESOR JESUS BERBIN LOPEZ,N/A,2936,2388,2388,2360,28,N/A,6,1,2,2,9,988,1358
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA ENRIQUE BARRIOS SANCHEZ,N/A,4015,3395,3395,3341,54,N/A,7,3,2,1,16,2168,1151
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,LICEO BOLIVARIANO CAYAURIMA,N/A,2532,1934,1934,1888,46,N/A,5,1,1,2,10,660,1214
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,GRUPO ESCOLAR ATANACIO GIRARDOT,N/A,3258,2628,2628,2572,56,N/A,6,0,3,1,7,1438,1123
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA BOLIVARIANA MONTALBAN,N/A,6267,5200,5200,5150,50,N/A,11,1,5,3,21,3244,1876
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA JOSE FELIX SOSA,N/A,7941,6595,6595,6510,85,N/A,15,0,4,3,18,4436,2049
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA NACIONAL NUESTRA SEÑORA DE COROMOTO,N/A,3280,2632,2632,2606,26,N/A,6,1,1,1,14,1317,1272
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,ESCUELA NACIONAL RAUL LEONI,N/A,2170,1762,1762,1721,41,N/A,4,0,0,0,9,430,1282
EDO. CARABOBO,MP. NAGUANAGUA,PQ. NAGUANAGUA,UNIDAD EDUCATIVA DOCTOR JOSE MARIA GIL,N/A,4350,3616,3616,3582,34,N/A,8,2,1,0,18,2653,908
